backend-1  | INFO:     172.18.0.1:41744 - "OPTIONS /api/reports/summary HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41750 - "OPTIONS /api/reports/by-reason HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41760 - "OPTIONS /api/reports/by-month HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41762 - "OPTIONS /api/reports/by-supplier HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41744 - "GET /api/reports/by-supplier HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41762 - "GET /api/reports/summary HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41760 - "GET /api/reports/by-reason HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41750 - "GET /api/reports/by-month HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41744 - "GET /api/reports/by-reason HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41772 - "GET /api/reports/summary HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41760 - "GET /api/reports/by-month HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:41768 - "GET /api/reports/by-supplier HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52338 - "OPTIONS /api/auth/me HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52338 - "GET /api/auth/me HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52340 - "GET /api/auth/me HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52340 - "GET /api/reports/summary HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52338 - "GET /api/reports/by-reason HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52346 - "GET /api/reports/by-month HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52360 - "GET /api/reports/by-supplier HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52338 - "GET /api/reports/by-month HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52370 - "GET /api/reports/summary HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52340 - "GET /api/reports/by-reason HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52346 - "GET /api/reports/by-supplier HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52346 - "OPTIONS /api/returns/ HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52346 - "OPTIONS /api/directories/reasons HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52370 - "OPTIONS /api/directories/warehouses HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52346 - "OPTIONS /api/directories/reasons HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52338 - "OPTIONS /api/directories/warehouses HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52360 - "GET /api/directories/reasons HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52346 - "GET /api/directories/warehouses HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52340 - "GET /api/returns/ HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52338 - "GET /api/directories/reasons HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52370 - "GET /api/directories/warehouses HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:52374 - "GET /api/returns/ HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:34776 - "GET /api/reports/summary HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:34792 - "GET /api/reports/by-month HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:34778 - "GET /api/reports/by-reason HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:34806 - "GET /api/reports/by-supplier HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:34776 - "GET /api/reports/by-reason HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:34778 - "GET /api/reports/by-supplier HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:34810 - "GET /api/reports/summary HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:34822 - "GET /api/reports/by-month HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:34822 - "OPTIONS /api/warehouse/pending HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:34778 - "OPTIONS /api/warehouse/pending HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:34778 - "GET /api/warehouse/pending HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:34822 - "GET /api/warehouse/pending HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:35688 - "OPTIONS /api/users/ HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:35696 - "OPTIONS /api/users/ HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:35696 - "GET /api/users/ HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:35688 - "GET /api/users/ HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:46730 - "POST /api/auth/login HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:46730 - "GET /api/returns/ HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:46730 - "GET /api/directories/reasons HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58378 - "POST /api/auth/login HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:58378 - "POST /api/returns/ HTTP/1.1" 201 Created
backend-1  | INFO:     172.18.0.1:58378 - "GET /api/returns/?client=%D0%A2%D0%B5%D1%81%D1%82 HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:50486 - "POST /api/auth/login HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:50486 - "POST /api/returns/ HTTP/1.1" 201 Created
backend-1  | INFO:     172.18.0.1:47332 - "POST /api/auth/login HTTP/1.1" 200 OK
backend-1  | INFO:     172.18.0.1:47332 - "GET /api/returns/?client=Test HTTP/1.1" 200 OK
